device_name,context_name,cpu_threads,gpu_threads,on_gpu,chunk_size,busy_time,observation_time,task_completed,time_stamp
worker 3,BruteTask,8,10000,1,20000,11571,21532,27360000,1748371503
root,wallclock,8,10000,1,20000,11571,23142,1,1748371503
worker 1,BruteTask,8,10000,1,20000,11577,21792,25600000,1748371503
worker 2,BruteTask,8,10000,1,20000,11578,21788,25160000,1748371503
root,wallclock,8,10000,1,20000,14585,29170,1,1748371546
worker 3,BruteTask,8,10000,1,20000,14585,27648,29480000,1748371546
worker 2,BruteTask,8,10000,1,20000,14588,28766,6840000,1748371546
worker 1,BruteTask,8,10000,1,20000,14592,28772,6840000,1748371546
worker 4,BruteTask,8,10000,1,20000,14593,27534,34960000,1748371546
root,wallclock,8,10000,1,20000,33142,66284,1,1748371585
worker 2,BruteTask,8,10000,1,20000,33145,65516,15600000,1748371585
worker 1,BruteTask,8,10000,1,20000,33142,65520,15600000,1748371585
worker 5,BruteTask,8,10000,1,20000,33158,65772,15680000,1748371585
worker 4,BruteTask,8,10000,1,20000,33172,65662,15640000,1748371585
worker 3,BruteTask,8,10000,1,20000,33174,65654,15640000,1748371585
root,wallclock,8,10000,1,20000,6286,12572,1,1748371733
worker 6,BruteTask,8,10000,1,20000,6286,12444,2540000,1748371733
worker 18,BruteTask,8,10000,1,20000,6286,12446,2540000,1748371733
worker 17,BruteTask,8,10000,1,20000,6288,12446,2540000,1748371733
worker 31,BruteTask,8,10000,1,20000,6290,12438,2520000,1748371733
worker 26,BruteTask,8,10000,1,20000,6292,12446,2540000,1748371733
worker 27,BruteTask,8,10000,1,20000,6293,12446,2540000,1748371733
worker 21,BruteTask,8,10000,1,20000,6294,12448,2540000,1748371733
worker 25,BruteTask,8,10000,1,20000,6295,12450,2540000,1748371733
worker 19,BruteTask,8,10000,1,20000,6302,12466,2540000,1748371733
worker 5,BruteTask,8,10000,1,20000,6303,12456,2540000,1748371733
worker 16,BruteTask,8,10000,1,20000,6304,12466,2540000,1748371733
worker 3,BruteTask,8,10000,1,20000,6306,12448,2540000,1748371733
worker 1,BruteTask,8,10000,1,20000,6307,12444,2540000,1748371733
worker 4,BruteTask,8,10000,1,20000,6307,12450,2540000,1748371733
worker 2,BruteTask,8,10000,1,20000,6309,12460,2540000,1748371733
worker 30,BruteTask,8,10000,1,20000,6309,12476,2540000,1748371733
worker 9,BruteTask,8,10000,1,20000,6310,12450,2540000,1748371733
worker 28,BruteTask,8,10000,1,20000,6311,12464,2540000,1748371733
worker 29,BruteTask,8,10000,1,20000,6312,12476,2540000,1748371733
worker 11,BruteTask,8,10000,1,20000,6313,12458,2540000,1748371733
worker 8,BruteTask,8,10000,1,20000,6315,12464,2540000,1748371733
worker 24,BruteTask,8,10000,1,20000,6315,12484,2540000,1748371733
worker 22,BruteTask,8,10000,1,20000,6317,12518,2520000,1748371733
worker 7,BruteTask,8,10000,1,20000,6323,12496,2540000,1748371733
worker 23,BruteTask,8,10000,1,20000,6324,12516,2500000,1748371733
worker 12,BruteTask,8,10000,1,20000,6331,12510,2540000,1748371733
worker 10,BruteTask,8,10000,1,20000,6331,12508,2540000,1748371733
worker 14,BruteTask,8,10000,1,20000,6335,12542,2560000,1748371733
worker 15,BruteTask,8,10000,1,20000,6336,12520,2540000,1748371733
root,wallclock,8,10000,1,20000,3122,6244,1,1748372881
worker 25,BruteTask,8,10000,1,20000,3122,6172,1260000,1748372881
worker 26,BruteTask,8,10000,1,20000,3122,6174,1260000,1748372881
worker 27,BruteTask,8,10000,1,20000,3124,6174,1260000,1748372881
worker 59,BruteTask,8,10000,1,20000,3123,6174,1260000,1748372881
worker 58,BruteTask,8,10000,1,20000,3125,6176,1260000,1748372881
worker 6,BruteTask,8,10000,1,20000,3125,6178,1260000,1748372881
worker 7,BruteTask,8,10000,1,20000,3126,6176,1260000,1748372881
worker 61,BruteTask,8,10000,1,20000,3126,6172,1260000,1748372881
worker 57,BruteTask,8,10000,1,20000,3126,6176,1260000,1748372881
worker 23,BruteTask,8,10000,1,20000,3126,6176,1260000,1748372881
worker 52,BruteTask,8,10000,1,20000,3126,6182,1260000,1748372881
worker 20,BruteTask,8,10000,1,20000,3126,6176,1260000,1748372881
worker 63,BruteTask,8,10000,1,20000,3127,6176,1260000,1748372881
worker 22,BruteTask,8,10000,1,20000,3127,6174,1260000,1748372881
worker 30,BruteTask,8,10000,1,20000,3128,6176,1260000,1748372881
worker 3,BruteTask,8,10000,1,20000,3128,6178,1260000,1748372881
worker 53,BruteTask,8,10000,1,20000,3128,6184,1260000,1748372881
worker 37,BruteTask,8,10000,1,20000,3129,6176,1260000,1748372881
worker 48,BruteTask,8,10000,1,20000,3129,6190,1260000,1748372881
worker 33,BruteTask,8,10000,1,20000,3128,6182,1260000,1748372881
worker 4,BruteTask,8,10000,1,20000,3130,6178,1260000,1748372881
worker 42,BruteTask,8,10000,1,20000,3130,6192,1260000,1748372881
worker 39,BruteTask,8,10000,1,20000,3131,6176,1260000,1748372881
worker 41,BruteTask,8,10000,1,20000,3132,6192,1260000,1748372881
worker 44,BruteTask,8,10000,1,20000,3133,6196,1260000,1748372881
worker 29,BruteTask,8,10000,1,20000,3133,6191,1260000,1748372881
worker 9,BruteTask,8,10000,1,20000,3132,6184,1260000,1748372881
worker 11,BruteTask,8,10000,1,20000,3132,6188,1260000,1748372881
worker 49,BruteTask,8,10000,1,20000,3133,6192,1260000,1748372881
worker 10,BruteTask,8,10000,1,20000,3134,6184,1260000,1748372881
worker 13,BruteTask,8,10000,1,20000,3135,6182,1260000,1748372881
worker 2,BruteTask,8,10000,1,20000,3136,6196,1260000,1748372881
worker 31,BruteTask,8,10000,1,20000,3136,6198,1260000,1748372881
worker 60,BruteTask,8,10000,1,20000,3136,6198,1260000,1748372881
worker 16,BruteTask,8,10000,1,20000,3138,6202,1260000,1748372881
worker 35,BruteTask,8,10000,1,20000,3138,6204,1260000,1748372881
worker 34,BruteTask,8,10000,1,20000,3139,6200,1260000,1748372881
worker 14,BruteTask,8,10000,1,20000,3140,6206,1260000,1748372881
worker 32,BruteTask,8,10000,1,20000,3140,6204,1260000,1748372881
worker 1,BruteTask,8,10000,1,20000,3141,6208,1260000,1748372881
worker 12,BruteTask,8,10000,1,20000,3141,6212,1260000,1748372881
worker 8,BruteTask,8,10000,1,20000,3143,6216,1260000,1748372881
worker 45,BruteTask,8,10000,1,20000,3146,6228,1220000,1748372881
worker 15,BruteTask,8,10000,1,20000,3149,6232,1220000,1748372881
worker 47,BruteTask,8,10000,1,20000,3158,6264,1280000,1748372881
worker 54,BruteTask,8,10000,1,20000,3169,6274,1280000,1748372881
worker 50,BruteTask,8,10000,1,20000,3170,6274,1280000,1748372881
worker 40,BruteTask,8,10000,1,20000,3170,6274,1280000,1748372881
worker 43,BruteTask,8,10000,1,20000,3170,6276,1280000,1748372881
worker 24,BruteTask,8,10000,1,20000,3171,6274,1280000,1748372881
worker 46,BruteTask,8,10000,1,20000,3171,6274,1280000,1748372881
worker 51,BruteTask,8,10000,1,20000,3172,6272,1280000,1748372881
worker 28,BruteTask,8,10000,1,20000,3172,6272,1280000,1748372881
worker 36,BruteTask,8,10000,1,20000,3178,6298,1100000,1748372881
worker 13,BruteTask,8,10000,1,20000,3303,6546,1460000,1748377106
worker 23,BruteTask,8,10000,1,20000,3304,6548,1460000,1748377106
worker 6,BruteTask,8,10000,1,20000,3304,6554,1460000,1748377106
worker 8,BruteTask,8,10000,1,20000,3305,6558,1460000,1748377106
worker 12,BruteTask,8,10000,1,20000,3306,6550,1460000,1748377106
worker 30,BruteTask,8,10000,1,20000,3305,6540,1520000,1748377106
worker 7,BruteTask,8,10000,1,20000,3307,6556,1460000,1748377106
worker 51,BruteTask,8,10000,1,20000,3306,6542,1520000,1748377106
worker 33,BruteTask,8,10000,1,20000,3308,6542,1520000,1748377106
worker 39,BruteTask,8,10000,1,20000,3308,6540,1520000,1748377106
worker 41,BruteTask,8,10000,1,20000,3309,6544,1520000,1748377106
worker 42,BruteTask,8,10000,1,20000,3309,6552,1500000,1748377106
worker 4,BruteTask,8,10000,1,20000,3313,6554,1460000,1748377106
worker 3,BruteTask,8,10000,1,20000,3313,6566,1460000,1748377106
worker 29,BruteTask,8,10000,1,20000,3313,6568,1460000,1748377106
worker 46,BruteTask,8,10000,1,20000,3314,6544,1520000,1748377106
worker 9,BruteTask,8,10000,1,20000,3315,6568,1460000,1748377106
worker 32,BruteTask,8,10000,1,20000,3318,6546,1520000,1748377106
worker 52,BruteTask,8,10000,1,20000,3318,6550,1520000,1748377106
worker 38,BruteTask,8,10000,1,20000,3319,6552,1520000,1748377106
worker 35,BruteTask,8,10000,1,20000,3318,6543,1520000,1748377106
worker 50,BruteTask,8,10000,1,20000,3321,6554,1520000,1748377106
worker 53,BruteTask,8,10000,1,20000,3321,6554,1520000,1748377106
worker 40,BruteTask,8,10000,1,20000,3323,6554,1520000,1748377106
worker 36,BruteTask,8,10000,1,20000,3323,6550,1520000,1748377106
worker 48,BruteTask,8,10000,1,20000,3323,6554,1520000,1748377106
worker 49,BruteTask,8,10000,1,20000,3325,6556,1520000,1748377106
worker 43,BruteTask,8,10000,1,20000,3327,6552,1520000,1748377106
worker 34,BruteTask,8,10000,1,20000,3328,6569,1520000,1748377106
worker 44,BruteTask,8,10000,1,20000,3330,6564,1520000,1748377106
worker 37,BruteTask,8,10000,1,20000,3332,6562,1520000,1748377106
worker 15,BruteTask,8,10000,1,20000,3331,6584,1480000,1748377106
worker 26,BruteTask,8,10000,1,20000,3332,6594,1480000,1748377106
worker 28,BruteTask,8,10000,1,20000,3333,6595,1480000,1748377106
worker 16,BruteTask,8,10000,1,20000,3335,6599,1480000,1748377106
worker 19,BruteTask,8,10000,1,20000,3335,6602,1480000,1748377106
worker 22,BruteTask,8,10000,1,20000,3336,6606,1480000,1748377106
worker 17,BruteTask,8,10000,1,20000,3337,6608,1480000,1748377106
worker 24,BruteTask,8,10000,1,20000,3339,6606,1480000,1748377106
worker 45,BruteTask,8,10000,1,20000,3339,6586,1520000,1748377106
worker 20,BruteTask,8,10000,1,20000,3341,6616,1480000,1748377106
worker 11,BruteTask,8,10000,1,20000,3341,6624,1480000,1748377106
worker 27,BruteTask,8,10000,1,20000,3342,6608,1480000,1748377106
worker 10,BruteTask,8,10000,1,20000,3342,6626,1480000,1748377106
worker 18,BruteTask,8,10000,1,20000,3342,6630,1480000,1748377106
worker 25,BruteTask,8,10000,1,20000,3344,6624,1480000,1748377106
worker 14,BruteTask,8,10000,1,20000,3345,6626,1480000,1748377106
worker 2,BruteTask,8,10000,1,20000,3347,6640,1480000,1748377106
